Date,Open,High,Low,Close,Adj Close,Volume
2008-11-14,97.725662,97.725662,97.725662,97.725662,50.414951,2737
2008-11-17,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-18,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-19,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-20,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-21,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-24,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-25,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-26,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-11-28,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-01,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-02,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-03,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-04,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-05,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-08,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-09,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-10,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-11,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-12,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-15,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-16,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-17,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-18,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-19,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-22,97.725662,97.725662,97.725662,97.725662,50.414951,0
2008-12-23,68.253426,68.253426,68.253426,68.253426,35.210743,1368
2008-12-24,68.253426,68.253426,68.253426,68.253426,35.210743,0
2008-12-26,61.600525,61.600525,61.600525,61.600525,31.778620,273
2008-12-29,58.520679,58.520679,58.520679,58.520679,30.189791,5474
2008-12-30,55.597935,55.597935,55.597935,55.597935,28.681993,1094
2008-12-31,52.821327,52.821327,52.821327,52.821327,27.249592,6842
2009-01-02,47.677292,47.677292,47.677292,47.677292,24.595879,343238
2009-01-05,45.295254,45.295254,45.295254,45.295254,23.367023,1353795
2009-01-06,45.295254,47.556728,43.033779,46.489929,23.983334,16584403
2009-01-07,46.489929,46.489929,46.489929,46.489929,23.983334,0
2009-01-08,46.489929,46.489929,46.489929,46.489929,23.983334,0
2009-01-09,46.807777,48.188774,44.469582,45.266029,23.351952,8394571
2009-01-12,44.951832,46.179386,42.704971,42.854763,22.108015,4130636
2009-01-13,43.410084,45.302563,42.124077,44.612064,23.014572,4722682
2009-01-14,44.484192,45.302563,43.877724,44.374592,22.892069,3466055
2009-01-15,44.374592,44.663212,42.156956,42.156956,21.748032,3176191
2009-01-16,40.052582,42.014473,40.052582,42.014473,21.674528,2046842
2009-01-20,36.150715,37.593819,36.150715,37.593819,19.393986,3611124
2009-01-21,36.154366,36.534325,34.349571,35.072952,18.093515,2867166
2009-01-22,35.138714,36.892361,33.648113,36.892361,19.032120,9655303
2009-01-23,36.771797,37.246742,35.799984,36.168980,18.658937,2996086
2009-01-26,36.742569,38.178368,34.934120,37.162716,19.171591,4346871
2009-01-27,37.265011,38.868870,37.265011,38.868870,20.051764,4740199
2009-01-28,38.945591,40.238907,38.945591,40.238907,20.758541,1929418
2009-01-29,40.238907,42.248295,39.460724,42.248295,21.795151,3132944
2009-01-30,42.248295,44.359978,41.846416,44.359978,22.884531,3682838
2009-02-02,44.359978,45.298908,42.818230,43.877724,22.635752,3259948
2009-02-03,43.706013,44.498806,42.927830,43.841190,22.616899,1841282
2009-02-04,43.658520,45.795776,43.658520,45.795776,23.625240,4893206
2009-02-05,45.795776,45.795776,45.795776,45.795776,23.625240,0
2009-02-06,45.795776,47.311951,45.558304,47.129276,24.313169,6654563
2009-02-09,46.957565,47.385017,45.357365,46.161118,23.813705,5029243
2009-02-10,46.161118,46.161118,46.161118,46.161118,23.813705,0
2009-02-11,44.736279,45.667904,43.183571,44.275948,22.841181,2249117
2009-02-12,44.275948,44.571877,43.110504,43.296829,22.336071,2322199
2009-02-13,43.249332,45.408512,42.854763,45.408512,23.425449,2228315
2009-02-17,47.673641,50.055679,46.489929,50.055679,25.822844,5198125
2009-02-18,50.055679,51.878742,49.248268,50.417370,26.009428,8870288
2009-02-19,50.800980,53.340115,50.417370,53.340115,27.517221,5495927
2009-02-20,53.340115,54.801487,50.673107,50.673107,26.141357,5745282
2009-02-23,48.174160,49.942421,48.174160,49.942421,25.764416,2841984
2009-02-24,48.269150,50.600040,47.494621,50.417370,26.009428,1985530
2009-02-25,50.044720,51.202854,47.545769,47.545769,24.528021,2485060
2009-02-26,47.545769,49.920502,45.196613,49.920502,25.753109,4207823
2009-02-27,50.424675,52.061413,50.424675,52.061413,26.857571,1312190
2009-03-02,51.648575,52.200245,49.873005,50.318726,25.958549,1717562
2009-03-03,50.318726,50.600040,47.859966,50.052025,25.820955,1799403
2009-03-04,50.417370,52.211205,50.417370,52.211205,26.934839,574254
2009-03-05,52.792099,54.819756,52.792099,54.819756,28.280548,2621644
2009-03-06,54.114639,55.163177,53.051491,54.253471,27.988407,1332719
2009-03-09,52.393875,52.974770,51.696068,51.878742,26.763332,706458
2009-03-10,51.878742,51.878742,51.878742,51.878742,27.740093,0
2009-03-11,51.966423,52.865166,50.052025,50.052025,26.763329,703721
2009-03-12,50.304111,52.817673,49.869354,52.817673,28.242153,1234181
2009-03-13,52.971115,54.344807,52.971115,54.344807,29.058723,1769568
2009-03-16,56.752419,56.752419,56.752419,56.752419,30.346094,212676
2009-03-17,59.185604,59.587482,59.185604,59.587482,31.862019,1415107
2009-03-18,60.829651,62.565029,60.829651,62.565029,33.454163,3013878
2009-03-19,60.829651,62.565029,60.829651,62.565029,33.454163,3013878
2009-03-20,62.565029,62.565029,62.565029,62.565029,33.454163,0
2009-03-23,62.565029,62.565029,62.565029,62.565029,33.454163,0
2009-03-24,62.565029,62.565029,62.565029,62.565029,33.454163,0
2009-03-25,67.588501,70.675652,67.588501,70.675652,37.790985,4401340
2009-03-26,70.675652,70.675652,70.675652,70.675652,37.790985,0
2009-03-27,70.675652,70.675652,70.675652,70.675652,37.790985,0
2009-03-30,70.675652,70.675652,70.675652,70.675652,37.790985,0
2009-03-31,70.675652,70.675652,70.675652,70.675652,37.790985,0
2009-04-01,71.585358,73.872406,69.086411,70.113022,37.490158,6564785
2009-04-02,70.113022,70.113022,70.113022,70.113022,37.490158,0
2009-04-03,70.113022,70.113022,70.113022,70.113022,37.490158,0
2009-04-06,73.346313,74.511757,71.990883,72.750801,38.900589,6738594
2009-04-07,72.750801,72.750801,72.750801,72.750801,38.900589,0
2009-04-08,71.965309,72.337959,68.370338,68.384949,36.566139,4771129
2009-04-09,68.384949,70.511246,65.487778,66.503433,35.560074,4514658
2009-04-13,66.503433,66.503433,66.503433,66.503433,35.560074,0
2009-04-14,66.503433,66.503433,66.503433,66.503433,35.560074,0
2009-04-15,74.752884,78.490341,74.712692,77.741386,41.569103,8160271
2009-04-16,77.741386,81.624985,76.722084,78.556107,42.004753,10445793
2009-04-17,78.556107,78.556107,78.556107,78.556107,42.004753,0
2009-04-20,81.719978,85.124977,81.544609,83.265381,44.522839,8143848
2009-04-21,83.265381,84.902115,79.937103,81.073318,43.350742,5836429
2009-04-22,81.073318,81.961105,77.021660,77.065506,41.207710,5382609
2009-04-23,77.065506,77.814461,73.214783,73.214783,39.148705,4514658
2009-04-24,73.214783,73.214783,73.214783,73.214783,39.148705,0
2009-04-27,76.817070,78.183456,73.108833,74.380234,39.771870,5008440
2009-04-28,74.380234,75.534714,72.429298,74.763840,39.976990,6106859
2009-04-29,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-04-30,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-01,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-04,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-05,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-06,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-07,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-08,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-11,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-12,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-13,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-14,74.763840,74.763840,74.763840,74.763840,39.976990,0
2009-05-15,74.763840,74.763840,74.763840,74.763840,39.976990,0
